Area,Year,Variable,Variable Value
Portugal,1950-01-01,Domain Code,OA
Nigeria,1950-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Domain Code,OA
United States of America,1950-01-01,Domain Code,OA
India,1950-01-01,Domain Code,OA
Portugal,1951-01-01,Domain Code,OA
Nigeria,1951-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Domain Code,OA
United States of America,1951-01-01,Domain Code,OA
India,1951-01-01,Domain Code,OA
Portugal,1952-01-01,Domain Code,OA
Nigeria,1952-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Domain Code,OA
United States of America,1952-01-01,Domain Code,OA
India,1952-01-01,Domain Code,OA
Portugal,1953-01-01,Domain Code,OA
Nigeria,1953-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Domain Code,OA
United States of America,1953-01-01,Domain Code,OA
India,1953-01-01,Domain Code,OA
Portugal,1954-01-01,Domain Code,OA
Nigeria,1954-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Domain Code,OA
United States of America,1954-01-01,Domain Code,OA
India,1954-01-01,Domain Code,OA
Portugal,1955-01-01,Domain Code,OA
Nigeria,1955-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Domain Code,OA
United States of America,1955-01-01,Domain Code,OA
India,1955-01-01,Domain Code,OA
Portugal,1956-01-01,Domain Code,OA
Nigeria,1956-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Domain Code,OA
United States of America,1956-01-01,Domain Code,OA
India,1956-01-01,Domain Code,OA
Portugal,1957-01-01,Domain Code,OA
Nigeria,1957-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Domain Code,OA
United States of America,1957-01-01,Domain Code,OA
India,1957-01-01,Domain Code,OA
Portugal,1958-01-01,Domain Code,OA
Nigeria,1958-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Domain Code,OA
United States of America,1958-01-01,Domain Code,OA
India,1958-01-01,Domain Code,OA
Portugal,1959-01-01,Domain Code,OA
Nigeria,1959-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Domain Code,OA
United States of America,1959-01-01,Domain Code,OA
India,1959-01-01,Domain Code,OA
Portugal,1960-01-01,Domain Code,OA
Nigeria,1960-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Domain Code,OA
United States of America,1960-01-01,Domain Code,OA
India,1960-01-01,Domain Code,OA
Portugal,1961-01-01,Domain Code,OA
Nigeria,1961-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Domain Code,OA
United States of America,1961-01-01,Domain Code,OA
India,1961-01-01,Domain Code,OA
Portugal,1962-01-01,Domain Code,OA
Nigeria,1962-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Domain Code,OA
United States of America,1962-01-01,Domain Code,OA
India,1962-01-01,Domain Code,OA
Portugal,1963-01-01,Domain Code,OA
Nigeria,1963-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Domain Code,OA
United States of America,1963-01-01,Domain Code,OA
India,1963-01-01,Domain Code,OA
Portugal,1964-01-01,Domain Code,OA
Nigeria,1964-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Domain Code,OA
United States of America,1964-01-01,Domain Code,OA
India,1964-01-01,Domain Code,OA
Portugal,1965-01-01,Domain Code,OA
Nigeria,1965-01-01,Domain Code,OA
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Domain Code,OA
